"ISO","Cases_Resistance_All","Cases_Resilience_All","Cases_Reduction_All","Cases_R2_fit_All","Tests_Resistance_All","Tests_Resilience_All","Tests_Reduction_All","Tests_R2_fit_All","Deaths_Resistance_All","Deaths_Resilience_All","Deaths_Reduction_All","Deaths_R2_fit_All","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean_Cases_All","Stringency_Max_Cases_All","Stringency_Mean_Tests_All","Stringency_Max_Tests_All","Stringency_Mean_Deaths_All","Stringency_Max_Deaths_All","Stringency_Diff_Cases_All","Stringency_Diff_Tests_All","Stringency_Diff_Deaths_All","Stringency_DiffMax_Cases_All","Stringency_DiffMax_Tests_All","Stringency_DiffMax_Deaths_All","Stringency_DiffPreIn_Cases_All","Stringency_DiffPreIn_Deaths_All","Stringency_DiffOutIn_Cases_All","Stringency_DiffOutIn_Deaths_All","Stringency_Diff_MinMax_PreIn_Cases_All","Stringency_Diff_MinMax_PreIn_Deaths_All","Stringency_Diff_MinMax_OutIn_Cases_All","Stringency_Diff_MinMax_OutIn_Deaths_All","Stringency_Mean_Cases_Out","Stringency_Mean_Deaths_Out","Stringency_Min_Cases_Out","Stringency_Min_Deaths_Out","Stringency_Mean_Full","Stringency_Max_Full","Population","Pop_Dens","Country_Size","Median_Age","Aged_65_Older","Aged_70_Older","GDP_per_Capita","Extreme_Poverty","Cardio_Death_Rate","Diabetes_Prev","Female_Smokers","Male_Smokers","Handwashing_Facilities","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Latitude","Avg_Temp","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence","Most_Trusted","Conf_Government","Conf_Politicians","Conf_Parliament","Conf_WHO","Conf_Universities","Conf_Elections"
"AFG",-1.75645810336485e-05,0.0313452791531194,0.954545454545455,0.955776353830997,NA,NA,NA,NA,-5.64113430880602e-07,0.0456209740026164,0.927140255009107,0.97814020890993,155,NA,186,61.4306363636364,84.26,NA,NA,64.7528333333333,78.7,15.5366427534127,NA,18.8588397231097,38.3660063897764,NA,18.8588397231097,11.7228168147642,9.39527235772357,23.955513210927,23.331291831357,84.26,78.7,84.26,78.7,37.4751231527094,41.4215415019763,0,0,45.8939936102236,84.26,38928341,54.422,715305.22582779,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.498,33.9241704940796,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO",-6.9810177413511e-06,0.0246332454899061,NA,0.963668409262944,NA,NA,NA,NA,-1.11968903801308e-07,0.0161780440103702,NA,0.961921430674667,297,NA,284,56.7384210526316,65.74,NA,NA,60.1233333333333,71.3,-4.50403901126619,NA,-1.11912673056443,4.49753993610223,NA,-1.11912673056443,-5.12641531100478,-1.33697201017812,-5.12641531100478,-1.33697201017812,65.74,71.3,65.74,71.3,61.8648363636364,61.4603053435115,0,0,61.2424600638978,90.74,32866268,23.89,1375733.27752198,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,11.2243161201477,21.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",-6.5188685801654e-06,0.0238542309705331,0.507462686567164,0.939199685393055,NA,NA,NA,NA,-3.33588157620405e-07,0.0601373690777076,0.958333333333333,0.927402446100698,103,NA,94,88.9148387096774,89.81,NA,NA,87.7652631578947,89.81,30.6536089362146,NA,29.504033384432,31.5487702265372,NA,29.504033384432,52.7465671047391,57.6084576023392,34.0718171269436,33.6411303165663,89.81,89.81,89.81,89.81,54.8430215827338,54.1241328413284,0,0,58.2612297734628,89.81,2877800,104.871,27441.3326849177,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.785,41.1507339477539,11.4,NA,NA,NA,NA,61,15,2.8,0.194556451612903,0.117508417508418,0.126425217974514,NA,NA,NA
"AND",-0.000310101598395134,0.0350817742402111,0.994991652754591,0.43600696761971,NA,NA,NA,NA,-1.8119459004724e-05,0.0529607079378523,1,0.937165064502959,88,NA,97,49.2577777777778,56.48,NA,NA,52.5337735849057,56.48,10.3768331523706,NA,13.6528289594985,17.5990553745928,NA,13.6528289594985,41.2892929292929,39.743506918239,18.9731253713607,20.485069881202,56.48,56.48,56.48,56.48,30.2846524064171,32.0487037037037,0,0,38.8809446254072,59.26,77265,163.755,471.832921132179,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858,42.5385990142822,7.6,NA,NA,NA,NA,NA,65,25.5,NA,0.31907671418873,0.412325502213143,0.584008097165992,0.636774417796316,0.477023319615912
"ARE",-7.68219687778048e-05,0.0137492623842778,0.657752040010529,0.920514693502945,-0.0205366214043998,0.0173338235541152,0.77700063826481,0.968041415974858,-6.83491062039958e-07,0.0238027423249909,0.887573964497042,0.943975548835711,141,139,121,60.7631944444444,72.22,58.45,72.22,63.7790322580645,81.48,10.6933247376041,8.38013029315961,13.7091625512241,22.1501302931596,22.1501302931596,13.7091625512241,13.4704213352007,22.2147898338221,13.9695774231678,19.6668827253542,69.44,78.7,69.44,78.7,46.7936170212766,44.1121495327103,2.78,2.78,50.0698697068404,89.81,9890400,112.442,87960.0149410363,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.863,24.3448238372803,27,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"ARG",-0.000307507491241936,0.0156706388105014,NA,0.985328939467589,NA,NA,NA,NA,-1.08762373971356e-05,0.0153095277412138,NA,0.964682944600993,291,NA,276,80.3879545454545,82.87,NA,NA,81.6228813559322,87.96,4.81479160615743,NA,6.04971841663509,7.29683706070288,NA,6.04971841663509,5.60234116255492,7.45496797010544,5.60234116255492,7.45496797010544,71.76,76.85,71.76,76.85,74.7856133828996,74.1679133858268,11.11,11.11,75.5731629392971,100,45195777,16.177,2793829.32558571,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.825,38.4173336029053,14.8,49,46,56,86,20,62,19.2,0.34421768707483,0.232749742533471,0.292674377847879,0.537505548158012,0.637305699481865,0.378273177636235
"ARM",-0.000195772591702174,0.0231495927905097,0.74887954216369,0.972048155994306,NA,NA,NA,NA,-3.65816536932284e-06,0.017784194127857,0.763837638376384,0.930674049606207,174,NA,165,NA,-Inf,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,NA,NA,Inf,Inf,NA,-Inf,2963234,102.931,28788.5476678552,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755,40.0800037384033,7.15,NA,NA,NA,NA,61,NA,24.9,0.311271975180972,0.314757481940144,0.327160493827161,NA,NA,NA
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,97928,231.845,422.385645582178,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78,17.0830564498901,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",-9.17808204673583e-06,0.0544314855081368,0.961374124081354,0.882239000349052,-0.00404897799892678,0.0506154466286195,0.918339067092991,0.877776810289741,-9.88239905903875e-08,0.0720698537167135,1,0.954367360235093,89,108,104,69.4434920634921,73.15,67.9690909090909,69.44,67.4921428571429,73.15,11.8400415842588,10.3656404298577,9.88869237790963,15.5465495207668,11.8365495207668,9.88869237790963,44.3219995261786,33.6526306620209,26.889126984127,17.8096569814366,73.15,73.15,73.15,73.15,42.5543650793651,49.6824858757062,0,0,57.6034504792332,79.17,25499881,3.202,7963735.47782636,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.939,32.4004878997803,21.65,38,90,61,51,21,71,48.5,0.386035582410205,0.283316549177576,0.381144781144781,0.607621009268795,0.609698202780604,0.547811447811448
"AUT",-5.56804050453011e-05,0.0439800557317689,0.942809284517827,0.892700607024708,-0.209436538143306,0.0490934778759989,0.976519078400202,0.912368365837714,-1.96304849884527e-06,0.0368242596289078,0.981900452488688,0.924629898534866,88,78,100,68.6115942028986,81.48,70.2405063291139,81.48,57.922947368421,81.48,21.6579839792564,23.2868961054718,10.9693371447789,34.5263897763578,34.5263897763578,10.9693371447789,46.4459881422925,26.6320499325236,27.7825778094559,15.7495528730082,81.48,81.48,81.48,81.48,40.8290163934426,42.1733944954128,0,0,46.9536102236422,82.41,9006400,106.749,84369.8770011897,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.908,47.7004146575928,6.35,11,55,79,70,60,63,49.8,0.427886262418637,0.369294605809129,0.480027548209366,NA,NA,NA
