"","ISO","Cases_Resistance","Cases_Resilience","Cases_Reduction","Cases_R2_fit","Tests_Resistance","Tests_Resilience","Tests_Reduction","Tests_R2_fit","Deaths_Resistance","Deaths_Resilience","Deaths_Reduction","Deaths_R2_fit","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean","Stringency_Decay","Stringency_Background","Stringency_Adaptive","Population","Pop_Dens","Country_Size","Median_Age","GDP_per_Capita","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Trust","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"1","AFG",-1.75645810336485e-05,0.0313452791531194,0.954545454545455,0.955776353830997,NA,NA,NA,NA,-5.64113430880602e-07,0.0456209740026164,0.927140255009107,0.97814020890993,155,NA,186,45.8939936102236,61.4306363636364,37.4751231527094,11.7228168147642,38928341,54.422,715305.22582779,18.6,1803.987,0.5,64.83,0.498,NA,NA,NA,NA,NA,NA,NA
"2","AGO",-6.9810177413511e-06,0.0246332454899061,NA,0.963668409262944,NA,NA,NA,NA,-1.11968903801308e-07,0.0161780440103702,NA,0.961921430674667,297,NA,284,61.2424600638978,56.7384210526316,61.8648363636364,-5.12641531100478,32866268,23.89,1375733.27752198,16.8,5819.495,NA,61.15,0.581,NA,NA,NA,NA,NA,NA,NA
"3","ALB",-6.5188685801654e-06,0.0238542309705331,0.507462686567164,0.939199685393055,NA,NA,NA,NA,-3.33588157620405e-07,0.0601373690777076,0.958333333333333,0.927402446100698,103,NA,94,58.2612297734628,88.9148387096774,54.8430215827338,52.7465671047391,2877800,104.871,27441.3326849177,38,11803.431,2.89,78.57,0.785,2.8,NA,NA,NA,NA,61,15
"4","AND",-0.000310101598395134,0.0350817742402111,0.994991652754591,0.43600696761971,NA,NA,NA,NA,-1.8119459004724e-05,0.0529607079378523,1,0.937165064502959,88,NA,97,38.8809446254072,49.2577777777778,30.2846524064171,41.2892929292929,77265,163.755,471.832921132179,NA,NA,NA,83.73,0.858,25.5,NA,NA,NA,NA,NA,65
"5","ARE",-7.68219687778048e-05,0.0137492623842778,0.657752040010529,0.920514693502945,-0.0205366214043998,0.0173338235541152,0.77700063826481,0.968041415974858,-6.83491062039958e-07,0.0238027423249909,0.887573964497042,0.943975548835711,141,139,121,50.0698697068404,60.7631944444444,46.7936170212766,13.4704213352007,9890400,112.442,87960.0149410363,34,67293.483,1.2,77.97,0.863,NA,80,38,53,68,23,34
"6","ARG",-0.000307507491241936,0.0156706388105014,NA,0.985328939467589,NA,NA,NA,NA,-1.08762373971356e-05,0.0153095277412138,NA,0.964682944600993,291,NA,276,75.5731629392971,80.3879545454545,74.7856133828996,5.60234116255492,45195777,16.177,2793829.32558571,31.9,18933.907,5,76.67,0.825,19.2,49,46,56,86,20,62
"7","ARM",-0.000195772591702174,0.0231495927905097,0.74887954216369,0.972048155994306,NA,NA,NA,NA,-3.65816536932284e-06,0.017784194127857,0.763837638376384,0.930674049606207,174,NA,165,NA,NA,NA,NA,2963234,102.931,28788.5476678552,35.7,8787.58,4.2,75.09,0.755,24.9,NA,NA,NA,NA,61,NA
"8","ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97928,231.845,422.385645582178,32.1,21490.943,3.8,77.02,0.78,NA,NA,NA,NA,NA,NA,NA
"9","AUS",-9.17808204673583e-06,0.0544314855081368,0.961374124081354,0.882239000349052,-0.00404897799892678,0.0506154466286195,0.918339067092991,0.877776810289741,-9.88239905903875e-08,0.0720698537167135,1,0.954367360235093,89,108,104,57.6034504792332,69.4434920634921,42.5543650793651,44.3219995261786,25499881,3.202,7963735.47782636,37.9,44648.71,3.84,83.44,0.939,48.5,38,90,61,51,21,71
"10","AUT",-5.56804050453011e-05,0.0439800557317689,0.942809284517827,0.892700607024708,-0.209436538143306,0.0490934778759989,0.976519078400202,0.912368365837714,-1.96304849884527e-06,0.0368242596289078,0.981900452488688,0.924629898534866,88,78,100,46.9536102236422,68.6115942028986,40.8290163934426,46.4459881422925,9006400,106.749,84369.8770011897,44.4,45436.686,7.37,81.54,0.908,49.8,11,55,79,70,60,63
"11","AZE",-5.30062850281211e-05,0.020960733533328,0.784608514438821,0.856425866488912,NA,NA,NA,NA,-7.77183547971112e-07,0.0224407585954832,0.807106598984772,0.843928555354134,185,NA,198,68.84,87.9213253012048,61.8937280701754,27.9105277551925,10139175,119.309,84982.4824615075,32.4,15847.419,4.7,73,0.757,26.3,NA,NA,NA,NA,61,22
"12","BDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3189180327869,NA,NA,NA,11890781,423.062,28106.4737556197,17.5,702.225,0.8,61.58,0.417,NA,NA,NA,NA,NA,NA,NA
"13","BEL",-0.000116476680504341,0.0394847993384037,0.935373948085813,0.984691436130017,-0.217814353889349,0.0417182369472287,0.968593205569004,0.950278171233884,-2.16262557793114e-05,0.0553661332795625,0.990264921800192,0.993474419150206,98,90,104,53.951661341853,71.6495061728395,45.116192893401,39.4618745938921,11589616,375.564,30859.2303841689,41.8,42658.576,5.64,81.63,0.916,NA,65,75,54,94,82,57
"14","BEN",-3.09489294821383e-06,0.022147629007771,0.877398720682303,0.96143752228733,NA,NA,NA,NA,-6.59891886612757e-08,0.0564409680852488,1,0.96125170485718,169,NA,191,40.5085620915033,42.1277319587629,39.7570813397129,3.77392243495336,12123198,99.11,122320.633639391,18.8,2064.236,0.5,61.77,0.515,NA,61,78,43,97,NA,NA
