"ISO","Cases_Resistance_1","Cases_Resilience_1","Cases_Reduction_1","Cases_R2_fit_1","Tests_Resistance_1","Tests_Resilience_1","Tests_Reduction_1","Tests_R2_fit_1","Deaths_Resistance_1","Deaths_Resilience_1","Deaths_Reduction_1","Deaths_R2_fit_1","Cases_Resistance_2","Cases_Resilience_2","Cases_Reduction_2","Cases_R2_fit_2","Tests_Resistance_2","Tests_Resilience_2","Tests_Reduction_2","Tests_R2_fit_2","Deaths_Resistance_2","Deaths_Resilience_2","Deaths_Reduction_2","Deaths_R2_fit_2"
"AFG",-1.75645810336485e-05,0.0313452791531194,0.954545454545455,0.955776353830997,NA,NA,NA,NA,-5.64113430880602e-07,0.0456209740026164,0.927140255009107,0.97814020890993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO",-6.9810177413511e-06,0.0246332454899061,NA,0.963668409262944,NA,NA,NA,NA,-1.11968903801308e-07,0.0161780440103702,NA,0.961921430674667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",-6.5188685801654e-06,0.0238542309705331,0.507462686567164,0.939199685393055,NA,NA,NA,NA,-3.33588157620405e-07,0.0601373690777076,0.958333333333333,0.927402446100698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AND",-0.000310101598395134,0.0350817742402111,0.994991652754591,0.43600696761971,NA,NA,NA,NA,-1.8119459004724e-05,0.0529607079378523,1,0.937165064502959,-0.00127198602213162,0.0124672669964139,0.407814407814408,0.939971710343029,NA,NA,NA,NA,NA,0.0980302657056999,1,0.859639848035816
"ARE",-7.68219687778048e-05,0.0137492623842778,0.657752040010529,0.920514693502945,-0.0205366214043998,0.0173338235541152,0.77700063826481,0.968041415974858,-6.83491062039958e-07,0.0238027423249909,0.887573964497042,0.943975548835711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARG",-0.000307507491241936,0.0156706388105014,NA,0.985328939467589,NA,NA,NA,NA,-1.08762373971356e-05,0.0153095277412138,NA,0.964682944600993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARM",-0.000195772591702174,0.0231495927905097,0.74887954216369,0.972048155994306,NA,NA,NA,NA,-3.65816536932284e-06,0.017784194127857,0.763837638376384,0.930674049606207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUS",-9.17808204673583e-06,0.0544314855081368,0.961374124081354,0.882239000349052,-0.00404897799892678,0.0506154466286195,0.918339067092991,0.877776810289741,-9.88239905903875e-08,0.0720698537167135,1,0.954367360235093,-1.67624311658552e-05,0.0337802104925235,NA,0.882835201934655,-0.00674351955109599,0.0294400628227214,NA,0.922227629585846,-0.00674351955109599,0.0778234604289609,1,0.963799662962221
"AUT",-5.56804050453011e-05,0.0439800557317689,0.942809284517827,0.892700607024708,-0.209436538143306,0.0490934778759989,0.976519078400202,0.912368365837714,-1.96304849884527e-06,0.0368242596289078,0.981900452488688,0.924629898534866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZE",-5.30062850281211e-05,0.020960733533328,0.784608514438821,0.856425866488912,NA,NA,NA,NA,-7.77183547971112e-07,0.0224407585954832,0.807106598984772,0.843928555354134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
