"","ISO","Most_Trusted","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence"
"1","AFG",NA,NA,NA,NA,NA,NA,NA
"2","AGO",NA,NA,NA,NA,NA,NA,NA
"3","ALB",2.8,NA,NA,NA,NA,61,15
"4","AND",25.5,NA,NA,NA,NA,NA,65
"5","ARE",NA,80,38,53,68,23,34
"6","ARG",19.2,49,46,56,86,20,62
"7","ARM",24.9,NA,NA,NA,NA,61,NA
"8","ATG",NA,NA,NA,NA,NA,NA,NA
"9","AUS",48.5,38,90,61,51,21,71
"10","AUT",49.8,11,55,79,70,60,63
"11","AZE",26.3,NA,NA,NA,NA,61,22
"12","BDI",NA,NA,NA,NA,NA,NA,NA
"13","BEL",NA,65,75,54,94,82,57
"14","BEN",NA,61,78,43,97,NA,NA
"15","BFA",NA,NA,NA,NA,NA,27,18
"16","BGD",12.9,80,20,55,60,47,20
"17","BGR",17.1,70,30,40,85,69,16
"18","BHR",NA,80,38,53,68,23,34
"19","BHS",NA,NA,NA,NA,NA,NA,NA
"20","BIH",9.6,NA,NA,NA,NA,70,44
"21","BLR",40,NA,NA,NA,NA,81,15
"22","BLZ",NA,NA,NA,NA,NA,NA,NA
"23","BOL",8.5,NA,NA,NA,NA,NA,NA
"24","BRA",6.5,69,38,49,76,44,59
"25","BRB",NA,NA,NA,NA,NA,NA,NA
"26","BRN",NA,NA,NA,NA,NA,NA,NA
"27","BTN",NA,NA,NA,NA,NA,NA,NA
"28","BWA",NA,NA,NA,NA,NA,NA,NA
"29","CAF",NA,54,73,45,60,NA,NA
"30","CAN",NA,39,80,52,48,36,68
"31","CHE",57.1,34,68,70,58,74,66
"32","CHL",12.9,63,23,28,86,31,68
"33","CHN",63.5,80,20,66,30,87,24
"34","CIV",NA,77,20,46,54,9,78
"35","CMR",NA,NA,NA,NA,NA,NA,NA
"36","COD",NA,NA,NA,NA,NA,NA,NA
"37","COG",NA,NA,NA,NA,NA,NA,NA
"38","COL",4.5,67,13,64,80,13,83
"39","COM",NA,80,38,53,68,23,34
"40","CPV",NA,77,20,46,54,9,78
"41","CRI",NA,35,15,21,86,NA,NA
"42","CUB",NA,NA,NA,NA,NA,NA,NA
"43","CYP",6.6,NA,NA,NA,NA,NA,70
"44","CZE",21.1,57,58,57,74,70,29
"45","DEU",43.4,35,67,66,65,83,40
"46","DJI",NA,64,27,41,52,32,40
"47","DMA",NA,NA,NA,NA,NA,NA,NA
"48","DNK",73.9,18,74,16,23,35,70
"49","DOM",NA,NA,NA,NA,NA,13,54
"50","DZA",NA,NA,NA,NA,NA,26,32
"51","ECU",5.8,NA,NA,NA,NA,NA,NA
"52","EGY",7.3,NA,NA,NA,NA,7,4
"53","ERI",NA,64,27,41,52,32,40
